"대표전화", "대표", "대표번호", "대표 전화", "대전"
"총장실", "총장", "부총장", "직속기관", "총장실팀"
"감사실", "감사", "감사팀", "감사실팀"
"비서실", "비서", "비서팀", "비서실팀"
"대외협력실", "대외 협력 실", "대외협력", "대외협력팀", "대외협", "대외협팀"
"안전보건총괄실", "안전 보건 총괄 실", "안전보건", "안전 보건", "안전총괄", "안전총"
"발전기금본부", "발전기금", "기금본부", "발기본", "발기본부"
"기획예산팀", "예산팀", "기예팀", "기예"
"전략기획팀", "전략팀", "전략"
"성과평가팀", "성과팀", "평가팀", "평가", "성평"
"IR센터", "IR 센터", "IR", "IR팀"
"학생지원팀", "학생 지원", "학지팀", "학지"
"생활관", "기숙사", "생활관팀"
"학생생활복지센터", "학생 생활 복지 센터", "복지센터", "학생복지센터", "학생복지", "학생생활복지", "복지"
"학생상담센터", "학생 상담 센터", "상담센터", "상담", "상담센터팀", "상담팀"
"예비군연대본부", "예비군 연대 본부", "예비군", "예비군본부", "예비군팀"
"사회봉사지원센터", "사회 봉사 지원 센터", "사회봉사", "사회봉사팀", "사회봉지원"
"건강지원실", "건강 지원 실", "건강지원", "건강지원팀", "건지원"
"입학관리팀", "입학 관리 팀", "입학관리", "입관팀"
"홍보소통팀", "홍보 소통 팀", "홍보팀", "소통팀", "홍소팀", "홍소"
"총무팀", "총무"
"회계팀", "회계"
"시설안전팀", "시설 안전 팀", "시설팀", "시설안전"
"진로취업지원팀", "진로 취업 지원 팀", "진로팀", "취업팀", "진취팀", "진취"
"현장실습지원센터", "현장 실습 지원 센터", "실습센터", "실습지원", "현장실습"
"창업교육센터", "창업 교육 센터", "창업센터", "창업교육", "창교팀"
"대학일자리플러스센터", "대학 일자리 플러스 센터", "일자리센터", "대학일자리", "일자리플러스"
"연구처", "연구 처", "연구"
"정보화기획팀", "정보화 기획 팀", "정보화", "정보화기획"
"정보시스템팀", "정보 시스템 팀", "시스템팀", "정보시스템", "시스템"
"정보인프라팀", "정보 인프라 팀", "인프라팀", "정보인프라", "인프라"
"도서관", "도서관팀"
"인권센터", "인권 센터", "인권팀", "인권"
"SW대학 교학팀", "SW대학 교학 팀", "SW교학팀", "SW교학"
"기업인재대학 교학팀", "기업 인재 대학 교학 팀", "기업인재교학", "기업인재팀"
"미래대학교학팀", "미래 대학교학 팀", "미래교학팀", "미래학"
"SW대학", "SW 대학", "소프트웨어 대학", "소프트웨어학부", "소프트웨어"
"컴퓨터공학부", "컴퓨터공학", "컴공", "컴공부", "컴공학"
"게임공학부", "게임공학", "게임", "게임공", "게임공부"
"인공지능학과", "인공지능", "AI학과", "AI"
"IT반도체융합대학", "IT 반도체 융합 대학", "반도체융합", "반도체", "IT반도체"
"전자공학부", "전자공학", "전자", "전자공", "전자학부"
"나노반도체공학과", "나노반도체", "반도체학", "나노반도체공학"
"스마트기계융합대학", "스마트기계 융합 대학", "스마트기계", "스마트기계대학"
"기계공학과", "기계공학", "기계", "기계학", "기계공"
"기계설계공학과", "기계설계", "설계공학", "설계학", "기계설계학"
"메카트로닉스공학부", "메카트로닉스", "메카", "메카공"
"첨단융합대학", "융합대학", "첨융대"
"신소재공학과", "신소재", "소재공학", "신소재학", "소재"
"생명화학공학과", "생명화학", "생화공", "생명화학학", "생화"
"에너지·전기공학과", "에너지전기", "전기공학", "에전", "전기"
"경영·디자인·융합학부", "경영 디자인 융합 학부", "경영디자인융합", "경디융"
"경영학부", "경영학", "경영"
"디자인공학부", "디자인공학", "디자인", "디자인공"
"지식융합학부", "지식융합", "지식학부", "지융학"
"교육혁신팀", "교육혁신", "교혁팀", "교혁", "교육혁"
"교수학습개발센터", "교수학습개발", "학습센터", "교수학습", "교학개발"
"공학교육혁신센터", "공학교육혁신", "공학교육", "공학혁신"
"교양교육운영센터", "교양교육", "운영센터", "교양교육센터"
"커뮤니케이션교육센터", "커뮤니케이션", "커교육", "커커", "커뮤니케이션센터"
"SW교육센터", "SW교육", "소프트웨어교육", "SW교수", "SW센터"
"메타버시티혁신센터", "메타버시티혁신", "메타버시티", "메타"
"대학혁신지원사업단", "대학혁신지원", "대학혁신", "혁신사업단"
"대학혁신지원사업운영지원팀", "운영지원팀", "대혁팀"
"K-Digital훈련원", "디지털훈련원", "K디지털", "K디지털훈련"
"기획운영팀", "기획운영", "기운팀", "기운"
"평생교육원", "평생교육", "교육원"
"법인사무과", "법인사무", "법사무",
"행정처", "행정", "행정팀", "행처"
"국제처", "국제", "국제팀", "국제처팀"
"단과대학", "단대", "학부", "단과", "학부대학"
"부속기관", "부속", "부속기관팀"
"일학습병행공동훈련센터", "일학습 병행 공동 훈련 센터", "일학습훈련", "일학습", "병행훈련", "훈련센터"
"조기취업형인재양성사업단", "조기 취업형 인재 양성 사업단", "조기취업형", "인재양성", "양성사업단", "조기취업형사업단"
"기획처", "기획"
"대학본부", "대학", "대학팀", "학교"
"유학생지원센터", "유학생 지원 센터", "유학생센터", "유학생지원", "유학생"
"입학홍보처", "입학 홍보 처", "입학홍보", "홍보처"
"학사운영팀", "학사 운영 팀", "운영팀", "학사팀", "학사", "학팀"
"연구기획팀", "연구 기획 팀", "연구팀", "연구기획"
"미래대학", "미래 대학", "미대", "미래학부",
"국제교육센터", "국제 교육 센터", "국제센터", "국제교육", "교육센터"
"건설사업본부", "건설 사업 본부", "건설본부", "건설사업", "사업본부"
"정보처", "정보", "정보팀", "정보처팀"
"경력개발처", "경력 개발 처", "경력개발", "개발처", "경력처"
"기업인재대학 본부", "기업 인재 대학 본부", "기업인재본부", "인재대학본부"
"교육기획팀", "교육 기획 팀", "교육팀", "기획교육"
"교무처", "교무", "교무팀", "교무처팀", "교학", "교학팀"
"기업인재대학", "기업 인재 대학", "기업인재대학본부", "기업인재"
"산업기술정책연구센터", "산업 기술 정책 연구 센터", "산기연", "산업기술센터", "산업정책연구"
"학생처", "학생", "학생팀", "학생처팀"
"연구지원팀", "연구 지원 팀", "연구지원", "연구 지원팀",
"자유전공학부", "자유 전공 학부", "자유전공", "자전학부"
"장애학생지원센터", "장애 학생 지원 센터", "장애학생지원", "장애학생센터"
"국제협력사업단", "국제 협력 사업단", "국제협력", "협력사업단", "협력사업"